ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0034440	lipid oxidation	54	0.6916601207787625	1.768684301116466	2.8588897409695174e-4	0.0061406569227907765	0.005319666546518937	1404	tags=37%, list=7%, signal=35%	AT5G17380/AT2G33150/AT5G65110/AT3G06810/AT1G76150/AT2G42790/AT5G27520/AT1G17420/AT3G58750/AT3G06860/AT4G16760/AT3G01420/AT4G14430/AT4G29010/AT3G51840/AT3G05290/AT5G42890/AT5G43280/AT5G43430/AT1G07420
GO:0009069	serine family amino acid metabolic process	51	-0.7298868790838049	-1.7264380131726722	3.0098465534117343e-4	0.006398251126943295	0.005542821053868381	991	tags=33%, list=5%, signal=32%	AT1G31230/AT3G57050/AT2G43750/AT4G19710/AT3G61440/AT3G01120/AT4G13930/AT5G28020/AT2G35370/AT1G32470/AT3G62030/AT1G11860/AT2G13360/AT5G14060/AT4G33010/AT2G26080/AT4G37930
GO:0006778	porphyrin-containing compound metabolic process	102	-0.6390052767433454	-1.6572356466516318	3.269965668771039e-4	0.006880274703067227	0.005960399290982226	1629	tags=36%, list=8%, signal=34%	AT2G20180/AT4G26150/AT5G18660/AT4G14690/AT5G58250/AT2G42810/AT1G03475/AT3G03710/AT5G08280/AT1G10657/AT3G14110/AT1G19670/AT5G45930/AT4G01690/AT5G01410/AT5G47110/AT3G48730/AT5G44190/AT1G03630/AT2G41680/AT1G08520/AT1G58290/AT2G40490/AT2G20890/AT1G44446/AT2G30390/AT2G20570/AT3G59400/AT4G18480/AT4G15560/AT4G17600/AT5G38520/AT2G35260/AT1G74470/AT3G51820/AT3G56940/AT4G25080
GO:0006635	fatty acid beta-oxidation	39	0.7388726725525654	1.7827438835499922	3.782571052023466e-4	0.007876464056009521	0.006823400634564375	1204	tags=41%, list=6%, signal=39%	AT2G33150/AT5G65110/AT3G06810/AT1G76150/AT2G42790/AT5G27520/AT3G58750/AT3G06860/AT4G16760/AT4G14430/AT4G29010/AT3G51840/AT3G05290/AT5G42890/AT5G43280/AT5G43430
GO:0043094	metabolic compound salvage	72	-0.6808173226649065	-1.681400511505651	3.8198176799270224e-4	0.007876464056009521	0.006823400634564375	1810	tags=26%, list=9%, signal=24%	AT3G09820/AT1G80050/AT3G53900/AT5G03300/AT5G11160/AT1G80380/AT3G10160/AT5G53580/AT2G23420/AT5G37850/AT5G04140/AT1G70580/AT4G22570/AT2G35370/AT2G13360/AT4G37930/AT1G68010/AT1G23310/AT5G09660
GO:0030091	protein repair	16	-0.8831662176266178	-1.7091996435600272	4.223849807028499e-4	0.008623344853557193	0.007470425349168695	1853	tags=75%, list=9%, signal=68%	AT2G30950/AT1G53670/AT4G18370/AT3G27925/AT5G39830/AT1G50250/AT2G47940/AT1G54780/AT4G02530/AT1G75690/AT1G03600/AT1G55480
GO:0019395	fatty acid oxidation	44	0.7208783470229343	1.7869150854083797	4.6345718086880406e-4	0.009282998080510923	0.008041884599840236	1204	tags=41%, list=6%, signal=39%	AT5G17380/AT2G33150/AT5G65110/AT3G06810/AT1G76150/AT2G42790/AT5G27520/AT3G58750/AT3G06860/AT4G16760/AT3G01420/AT4G14430/AT4G29010/AT3G51840/AT3G05290/AT5G42890/AT5G43280/AT5G43430
GO:0170035	L-amino acid catabolic process	53	0.6864055626966811	1.7488187870329939	4.636997101322139e-4	0.009282998080510923	0.008041884599840236	1903	tags=45%, list=9%, signal=41%	AT4G33150/AT5G46180/AT4G34180/AT3G22200/AT5G62530/AT3G45300/AT5G07440/AT5G54080/AT1G79440/AT2G02390/AT1G64660/AT1G03090/AT4G20930/AT2G02010/AT4G35220/AT3G04520/AT2G14170/AT5G43430/AT4G34030/AT3G55840/AT1G08630/AT5G53970/AT1G17290/AT2G43400
GO:0009409	response to cold	408	-0.4836406989309429	-1.4334246183141552	4.7490303631799656e-4	0.009415865970074124	0.008156988386959921	2328	tags=23%, list=11%, signal=20%	AT3G02870/AT2G47730/ATCG00480/AT1G49480/AT1G70200/AT1G68530/AT2G03440/AT5G08620/AT5G52440/AT4G10030/AT2G19620/AT5G51820/AT3G26744/AT3G17390/AT2G16280/AT5G15970/AT3G23000/AT1G12080/AT1G53240/AT5G20720/AT1G01120/AT5G58770/AT2G20180/AT2G46810/AT3G23830/AT1G67280/AT1G74520/AT5G10450/AT2G35040/AT4G17090/AT1G17610/AT1G74960/AT5G12250/AT1G15950/AT1G05200/AT5G50950/AT1G08810/AT1G32070/AT3G27690/AT3G08920/AT2G39460/AT1G55490/AT5G61410/AT2G01570/AT3G55280/AT5G54770/AT3G49260/AT4G35090/AT1G23740/AT2G27710/AT2G37220/AT1G12860/AT2G16500/AT4G38680/AT3G12780/AT2G43010/AT3G57260/AT4G27310/AT5G06290/AT4G35450/AT5G11790/AT2G33800/AT3G52150/AT1G45474/AT3G62410/AT3G11170/AT1G77490/AT3G01500/AT4G24770/AT1G42970/AT4G14400/AT3G59060/AT4G09650/AT1G03680/AT5G13650/AT3G11630/AT4G37930/AT3G61470/AT1G16880/AT1G32060/AT1G01060/AT1G61520/AT1G09340/AT1G67090/AT3G54890/AT3G26650/AT3G54050/AT3G47470/AT2G05100/AT2G05070/AT2G46830/AT2G39730
GO:0071215	cellular response to abscisic acid stimulus	235	0.47397939554876073	1.476146578158589	5.013206408500846e-4	0.009752105296536551	0.008448273361694077	2724	tags=26%, list=13%, signal=22%	AT2G33150/AT2G29940/AT5G52300/AT1G07430/AT1G05100/AT5G59220/AT3G50500/AT2G46680/AT1G01720/AT4G35790/AT2G28400/AT4G26080/AT3G20810/AT1G15380/AT4G02370/AT3G01650/AT3G09770/AT2G30360/AT1G49720/AT3G02140/AT3G63060/AT2G25760/AT5G01550/AT5G57050/AT1G70810/AT1G05680/AT5G66880/AT5G01520/AT1G18720/AT5G13170/AT3G11410/AT1G54830/AT5G20910/AT5G37740/AT4G33780/AT2G32510/AT5G11310/AT4G04920/AT1G02816/AT4G15230/AT2G26300/AT1G62810/AT1G18470/AT1G18390/AT4G01026/AT1G20110/AT5G66070/AT1G74740/AT3G55620/AT2G30020/AT5G08520/AT5G10940/AT2G01540/AT4G23450/AT3G48360/AT5G63910/AT1G27320/AT4G21534/AT3G57530/AT5G60870
