category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Amino acid metabolism	ath00280	Valine, leucine and isoleucine degradation	33/2187	52/6348	0.6346153846153846	1.8420386198163976	4.419886383708507	1.7259929249741637e-5	2.1496457338314584e-4	1.1066174734284111e-4	817876/819865/841849/818421/841998/823955/823668/820547/838991/834946/838362/824130/838739/827841/829573/834876/820862/837166/819869/815903/829549/829782/837543/827307/820034/843457/820951/841020/841433/827314/843458/833376/817616	33
Metabolism	Global and overview maps	ath01212	Fatty acid metabolism	41/2187	70/6348	0.5857142857142857	1.7000979815794632	4.269794492126387	2.875728262937844e-5	3.283123100187372e-4	1.6901209966389082e-4	817876/836635/819865/819555/819337/821961/841367/819870/827381/839053/817570/834946/832820/833497/826932/829022/815152/824347/816756/820737/834876/818382/820862/818973/842561/823720/830912/831500/834780/831484/834671/842748/824702/818138/827314/820709/840522/831483/839063/840977/831406	41
Metabolism	Amino acid metabolism	ath00270	Cysteine and methionine metabolism	64/2187	125/6348	0.512	1.4861344307270232	3.9794336690807293	7.467545688996931e-5	7.344172019422542e-4	3.7807109128029984e-4	830825/831255/818421/831024/818260/821147/832872/827124/830035/831660/821292/831452/825317/821964/842774/827715/834351/821817/824130/818978/838352/824872/840011/842096/839345/837082/829715/821482/837444/837543/841757/820034/835480/828460/819654/820731/841405/821003/827122/817648/821845/817180/825145/820499/842043/827640/829716/843313/832873/841433/828726/834975/816270/822210/832011/821287/817022/827440/829933/842579/826317/816478/844069/837753	64
Metabolism	Energy metabolism	ath00920	Sulfur metabolism	26/2187	40/6348	0.65	1.8866941015089163	4.07819281876662	7.504993304519385e-5	7.344172019422542e-4	3.7807109128029984e-4	832872/841793/836521/825317/821817/827040/818978/825853/827118/842514/830153/838580/835527/821861/819654/815963/825145/820499/842043/834400/828288/829716/832873/836519/830788/821962	26
Metabolism	Amino acid metabolism	ath00380	Tryptophan metabolism	37/2187	64/6348	0.578125	1.6780692729766804	3.952353181824829	1.0291310566779604e-4	9.399396984325372e-4	4.838721459468305e-4	841849/837972/839488/823955/838652/832221/838651/816585/838991/829661/816553/839163/823555/829573/834876/840099/817626/832669/829782/823457/832667/828569/827307/829277/820951/839022/841020/816765/827314/826956/832638/837024/843393/831003/817628/828993/837971	37
Metabolism	Lipid metabolism	ath00071	Fatty acid degradation	29/2187	47/6348	0.6170212765957447	1.7909698508595278	3.9456076948489556	1.1750432676988969e-4	0.0010023114856240812	5.159805573324121e-4	844047/817876/836635/819865/841849/823955/819337/821961/841367/819870/827381/838849/827088/838991/834946/832820/829022/824347/829573/834876/834230/829782/841020/842748/827089/818138/827314/840172/843283	29
Metabolism	Lipid metabolism	ath00061	Fatty acid biosynthesis	27/2187	43/6348	0.627906976744186	1.822566752799311	3.9234906045818376	1.3169056015498878e-4	0.0010023114856240812	5.159805573324121e-4	819555/819337/821961/841367/839053/817570/832820/833497/826932/815152/816756/820737/826919/818382/820862/818973/842561/823720/831500/831484/834671/842748/820709/840522/831483/840977/831406	27
Metabolism	Lipid metabolism	ath00592	alpha-Linolenic acid metabolism	27/2187	43/6348	0.627906976744186	1.822566752799311	3.9234906045818376	1.3169056015498878e-4	0.0010023114856240812	5.159805573324121e-4	844047/817876/836635/843703/821249/838314/844002/819870/827381/821135/821286/834946/829022/824347/834273/823650/838551/827730/830283/843584/837462/818138/822169/837888/824881/815261/833792	27
Metabolism	Carbohydrate metabolism	ath00500	Starch and sucrose metabolism	86/2187	181/6348	0.47513812154696133	1.3791389097302746	3.7515475281368533	1.5937648744738454e-4	0.001149188356857457	5.915913938490175e-4	832042/826603/840184/832206/819828/821975/844194/827959/828081/842747/828603/830979/820558/826481/837716/3767579/825184/830135/824399/825183/835220/842563/842961/841088/829638/820294/842479/838927/836638/828504/823850/817847/817697/833692/827419/839435/839196/842309/842478/837730/823854/831065/834883/832150/832497/843408/835257/836609/826535/842942/837777/843130/825182/819751/828080/827185/816385/838871/828264/830076/819056/828896/817789/818580/825450/828355/841955/816697/838998/835258/816753/819055/823393/839385/832219/820591/835545/820590/821332/830056/837112/819053/843479/832525/825449/844144	86
Metabolism	Energy metabolism	ath00195	Photosynthesis	42/2187	77/6348	0.5454545454545454	1.5832398054620276	3.7327929516937868	2.176145226823084e-4	0.0014834532186768596	7.63667811381864e-4	837358/837178/838622/841653/840021/839918/841033/836789/836525/824699/820859/817606/826892/825866/829359/827877/825797/827996/828996/839449/828984/826551/828183/842016/838400/824246/844245/836751/843099/816545/842386/843942/825887/837974/817297/838591/837639/821143/827146/840149/834535/817630	42
Metabolism	Metabolism of cofactors and vitamins	ath00670	One carbon pool by folate	26/2187	42/6348	0.6190476190476191	1.796851525246587	3.756080167642377	2.4477266255912945e-4	0.0014834532186768596	7.63667811381864e-4	829949/817149/841849/829438/837733/840141/818104/818260/823972/827027/821964/825167/843831/844007/834791/818069/819022/827024/827307/821003/821845/820951/827448/829609/816694/818078	26
Environmental Information Processing	Signal transduction	ath04016	MAPK signaling pathway - plant	71/2187	146/6348	0.4863013698630137	1.411541424732698	3.646984239170139	2.465793962876019e-4	0.0014834532186768596	7.63667811381864e-4	818708/837255/839324/838652/816330/836040/824214/826515/832253/838651/842650/828714/834509/836451/829661/832546/833756/829797/835809/837082/817173/836822/822119/820314/832607/820429/830162/821891/842959/844164/817247/817812/835179/829480/824847/817575/827923/840957/818429/843609/834722/835008/815949/817487/828713/827510/816833/834469/823706/817143/819774/830609/834470/840324/835402/817142/822298/835250/836485/839523/817145/816436/836344/818411/828455/834676/830427/843631/826913/816518/816621	71
Metabolism	Amino acid metabolism	ath00340	Histidine metabolism	15/2187	20/6348	0.75	2.1769547325102883	3.821653471968505	2.4904689072677207e-4	0.0014834532186768596	7.63667811381864e-4	841849/823955/842175/817775/838991/829573/829782/817776/828797/830897/821812/841020/840076/818195/830067	15
Metabolism	Biosynthesis of other secondary metabolites	ath00966	Glucosinolate biosynthesis	18/2187	26/6348	0.6923076923076923	2.0094966761633426	3.739160475102329	3.0734622450035196e-4	0.001754434698189509	9.031665369089289e-4	816585/824130/831270/825068/832366/837543/838440/829277/839022/816765/841433/827011/843749/838211/838210/832365/821508/818912	18
Metabolism	Metabolism of other amino acids	ath00410	beta-Alanine metabolism	28/2187	47/6348	0.5957446808510638	1.729212269795406	3.637541354776619	3.578866805894388e-4	0.0019281054757142064	9.925706252236024e-4	836635/841849/823955/826838/827381/818904/842894/842908/838991/831215/821049/824347/827841/814732/829573/837166/815903/829782/842580/840058/840056/829093/841020/818138/827314/831599/821044/817616	28
